classname           z_sdss  z_shen 
 GB6J085449+621900  0.26737 0.00000 
 GB6J085546+484225  0.33134 0.00000 
 GB6J085553+540725  2.53046 0.00000 
 GB6J085625+102031  3.70073 3.67910 
 GB6J085633+033446  1.16907 1.16940 
 GB6J085639+205740  0.00092 0.00000 
 GB6J085646+235617  0.59477 0.59280 
 GB6J085655+174002  0.51686 0.00000 
 GB6J085658+211132  2.09434 2.10630 
 GB6J085726+331337  2.34596 0.00000 
 GB6J085726+530248  1.44057 1.43710 
 GB6J085728+423707  2.00480 2.00860 
 GB6J085749+013536  0.28117 0.00000 
 GB6J085751+130708  0.44635 0.00000 
 GB6J085941+112213  0.55910 0.00000 
 GB6J090021+410836  1.62614 1.62940 
 GB6J090029+333002  2.03399 0.00000 
 GB6J090052+135701  3.16746 3.18700 
 GB6J090059+103651  0.02946 0.00000 
 GB6J090111+044915  1.85934 1.86220 
 GB6J090121+494729  1.79676 0.00000 
 GB6J090150+030424  0.28755 0.00000 
 GB6J090200+121456  1.04757 0.00000 
 GB6J090203+203017  0.08307 0.00000 
 GB6J090212+125819  0.00248 0.00000 
 GB6J090227+044315  0.53194 0.53190 
 GB6J090253+644429  0.00012 0.00000 
 GB6J090303+193109  0.97996 0.98120 
 GB6J090303+465058  1.46514 1.47090 
 GB6J090339+120340  1.05728 1.05880 
 GB6J090354+254658  0.82602 0.82790 
 GB6J090358+515056  1.54057 0.00000 
 GB6J090416+011417  1.98174 0.00000 
 GB6J090416+423803  1.34246 0.00000 
 GB6J090423+560141  2.06258 0.00000 
 GB6J090427+325310  2.32595 0.00000 
 GB6J090430+281937  1.12066 1.12070 
 GB6J090432+472730  1.17302 0.00000 
 GB6J090443+233342  2.25923 2.25730 
 GB6J090455+482535  2.10089 0.00000 
 GB6J090504+274823  1.48552 1.48650 
 GB6J090527+154152  1.77991 1.78610 
 GB6J090528+175538  0.40154 0.00000 
 GB6J090528+485051  2.68756 2.68800 
 GB6J090535+135803  1.07533 0.00000 
 GB6J090535+355544  2.82406 2.83870 
 GB6J090536+470603  0.17360 0.00000 
 GB6J090541+284938  1.21719 1.21550 
 GB6J090549+041022  3.14747 3.15070 
 GB6J090553+025917  1.82231 1.82550 
 GB6J090602+314234  3.54181 3.54260 
 GB6J090603+194156  1.20764 1.20550 
 GB6J090609+201547  0.81706 0.82080 
 GB6J090615+463633  0.08470 0.00000 
 GB6J090631+154109  0.43617 0.00000 
 GB6J090650+412426  0.02736 0.00000 
 GB6J090652+495250  1.64151 0.00000 
 GB6J090729+394417  0.23687 0.00000 
 GB6J090812+160417  0.17938 0.00000 
 GB6J090814+514706  1.00011 1.00270 
 GB6J090835+415049  0.73368 0.73370 
 GB6J090856+160954  0.65198 0.00000 
 GB6J090909+012136  1.02413 1.02550 
 GB6J090912+083603  1.75461 1.75470 
 GB6J090915+035443  3.28757 0.00000 
 GB6J090923+521652  0.41008 0.41020 
 GB6J090930+504342  0.45072 0.00000 
 GB6J090937+192800  0.02784 0.00000 
 GB6J090940+015950  1.29023 0.00000 
 GB6J090946+475259  2.62622 0.00000 
 GB6J090955+332337  1.48538 1.49050 
 GB6J090957+132339  0.40837 0.00000 
 GB6J091025+193701  2.24779 0.00000 
 GB6J091039+201232  1.61191 1.61240 
 GB6J091042+224843  2.67719 0.00000 
 GB6J091046+254754  0.38444 0.00000 
 GB6J091053+564353  1.39762 1.39310 
 GB6J091054+270939  3.44756 0.00000 
 GB6J091100+331930  0.43664 0.00000 
 GB6J091134+195807  1.63475 1.63980 
 GB6J091140+020528  2.36608 2.36480 
 GB6J091144+424851  1.04195 0.00000 
 GB6J091149+334921  0.45593 0.00000 
 GB6J091203+083742  1.53725 1.53880 
 GB6J091211+412601  2.56920 0.00000 
 GB6J091217+413928  1.77765 1.77720 
 GB6J091224+220503  0.99348 0.99330 
 GB6J091238+415251  1.31194 1.31050 
 GB6J091251+442208  1.72453 1.72580 
 GB6J091352+440254  1.17807 1.17830 
 GB6J091416+185825  1.95756 1.95550 
 GB6J091418+100632  0.30796 0.00000 
 GB6J091439+351205  1.06775 1.07380 
 GB6J091455+233234  1.51480 1.51820 
 GB6J091459+092255  2.67697 0.00000 
 GB6J091508+205611  1.77644 1.77390 
 GB6J091528+441637  1.48584 1.48820 
 GB6J091538+523236  0.61464 0.00000 
 GB6J091540+131722  0.58377 0.00000 
 GB6J091542+251925  0.71192 0.71070 
 GB6J091553+293326  1.23960 0.00000 
 GB6J091601+203825  2.30008 0.00000 
 GB6J091637+183801  0.96999 0.97040 
 GB6J091641+024300  1.10144 1.10190 
 GB6J091646+100645  1.50753 1.51120 
 GB6J091648+385432  1.26779 1.26560 
 GB6J091658+303558  0.71463 0.00000 
 GB6J091708+614924  1.44557 1.44930 
 GB6J091719+145632  1.03398 1.03340 
 GB6J091747+480943  1.36030 1.35670 
 GB6J091825+063722  4.21704 4.19200 
 GB6J091857+232548  0.68988 0.69020 
 GB6J091857+315106  0.06194 0.00000 
 GB6J091907+212547  1.39253 1.39000 
 GB6J091908+332441  0.00103 0.00000 
 GB6J091913+463008  1.73875 0.00000 
 GB6J091914+220507  1.54864 1.55160 
 GB6J091915+035244  0.35201 0.00000 
 GB6J091925+134403  0.46176 0.00000 
 GB6J091927+110702  0.42479 0.00000 
 GB6J091950+113914  0.99817 1.00650 
 GB6J092035+002314  2.48473 2.49100 
 GB6J092058+444144  2.18779 2.18880 
 GB6J092100+080509  0.51543 0.51750 
 GB6J092115+175309  2.54701 2.54340 
 GB6J092122+013814  1.65942 1.66280 
 GB6J092130+135053  0.76684 0.76780 
 GB6J092135+621546  1.44746 1.45320 
 GB6J092141+532046  2.79796 0.00000 
 GB6J092157+660437  1.64411 1.64460 
 GB6J092216+513850  0.94072 0.00000 
 GB6J092239+133046  1.84110 1.84150 
 GB6J092247+262057  1.64258 1.64390 
 GB6J092318+151758  1.09812 1.09770 
 GB6J092330+412539  1.76917 0.00000 
 GB6J092331+020048  2.55792 2.56360 
 GB6J092348+310753  0.89329 0.89380 
 GB6J092350+281530  0.74455 0.74420 
 GB6J092413+030928  0.12815 0.00000 
 GB6J092437+192906  0.36438 0.00000 
 GB6J092445+451200  3.43092 0.00000 
 GB6J092507+001900  1.72094 1.72430 
 GB6J092524+543528  0.56024 0.56020 
 GB6J092534+250118  1.33910 1.34180 
 GB6J092543+312655  2.15244 0.00000 
 GB6J092546+193518  0.55052 0.55010 
 GB6J092550+165813  1.54693 1.54700 
 GB6J092551+361225  0.99819 0.00000 
 GB6J092557+082838  2.84366 2.85270 
 GB6J092600+402949  1.87888 1.87880 
 GB6J092611+145142  0.63201 0.00000 
