# z 		logbh 	  	  err	      logedd_ratio 
 4.33150         9.422            0.239       -0.320 
 4.24380         8.558            0.068       -0.549 
 4.38820        10.083            0.510       -1.265 
 4.16250         9.365            0.213       -0.498 
 4.16950         8.945            0.311       -0.425 
 4.59940         9.607            0.063       -0.413 
 4.05200         9.796            0.085       -0.830 
 4.39520         9.570            0.286       -0.646 
 4.34630         9.816            0.244       -1.016 
 4.90850        10.364            0.317       -0.982 
 4.26880         9.355            0.464       -0.686 
 4.07080         9.687            0.079       -0.531 
 4.32960         9.306            0.134       -0.318 
 4.59140         9.017            0.295        0.067 
 4.75050         8.966            0.306        0.218 
 4.11170         9.955            0.091       -0.522 
 4.27300         9.228            0.887       -0.363 
 4.49050         8.515            0.320        0.299 
 4.29180         9.570            0.349       -0.394 
 4.72310         8.688            0.110        0.257 
 4.61320         9.593            0.248       -0.183 
 4.04100         9.539            0.136       -0.419 
 4.06420         9.486            0.218       -0.585 
 4.12320         8.656            0.231        0.196 
 4.10270         9.855            0.189       -0.533 
 4.06790         8.837            0.108        0.325 
 4.82880        10.121            0.487       -0.972 
 4.04540         9.034            0.204       -0.087 
 4.43570         9.884            0.303       -0.604 
 4.01090         9.494            0.151       -0.720 
 4.27870         9.327            0.145       -0.229 
 4.78560         8.823            0.779        0.022 
 4.02010         9.739            0.283       -0.965 
 4.08550        10.427            0.097       -1.071 
 4.08930         9.603            0.225       -0.550 
 4.10830         8.523            0.102        0.186 
 4.11120         9.615            0.174       -0.624 
 4.02830         9.131            0.060       -0.246 
 4.69210         9.881            0.224       -0.529 
 4.26810         8.322            0.046        0.659 
 4.51140         9.745            0.193       -0.713 
 4.22660         9.537            0.070       -0.205 
 4.15670         9.306            0.077        0.023 
 4.46090        10.257            0.079       -0.648 
 4.21820         9.830            0.257       -1.017 
 4.22680         9.452            0.296       -0.449 
 4.61230         9.288            0.570       -0.598 
 4.01330         9.443            0.403       -0.612 
 4.28820         9.376            0.116       -0.312 
 4.32220         8.885            0.116        0.164 
 4.32640         9.895            0.130       -0.765 
 4.25660         9.906            0.175       -0.889 
 4.84910        10.402            0.239       -1.314 
 4.55750         9.059            0.484       -0.206 
 4.58440         9.838            0.225       -0.909 
 4.81610         9.148            0.104       -0.182 
 4.38000         9.446            0.139       -0.318 
 4.19420         9.532            0.149       -0.669 
 4.82110         9.012            0.129        0.349 
 4.27200         9.230            0.188       -0.464 
 4.04530         9.764            0.212       -0.969 
 4.31350         8.313            0.478        0.088 
 4.21350        10.320            0.077       -1.315 
 4.05750         9.475            0.596       -0.535 
 4.23320         9.593            0.436       -0.754 
 4.71620         9.328            0.474       -0.308 
 4.35250         9.874            0.301       -0.644 
 4.50410         9.631            0.485       -0.492 
 4.15410         9.600            0.102       -0.490 
 4.51980         8.174            1.471        0.685 
 4.03740         9.270            0.111       -0.009 
 4.02700         8.961            0.560       -0.185 
 4.03510         9.880            0.084       -0.688 
 4.06100         9.737            0.221       -0.817 
 4.41190         9.455            0.071       -0.115 
 4.02710         9.966            0.077       -0.763 
 4.83610        10.104            0.412       -1.015 
 4.14100         9.908            0.248       -0.661 
 4.13480        10.272            0.174       -0.476 
 4.52310         9.324            0.246       -0.337 
 4.63180         9.341            0.647       -0.441 
 4.81100         8.868            0.168       -0.280 
 4.69450         9.509            0.188       -0.556 
 4.13970         9.211            0.120       -0.659 
 4.40470         9.200            0.580       -0.432 
 4.14220         9.445            0.968       -0.601 
 4.73410         8.797            0.198        0.251 
 4.66210         9.172            0.583       -0.127 
 4.33200         9.797            0.563       -0.736 
 4.85470         8.571            0.133        0.481 
 4.51560         9.966            0.236       -1.051 
 4.42190         9.424            0.386       -0.596 
 4.13880        10.066            0.187       -1.056 
 4.32660         8.666            0.102        0.264 
 4.16180         9.614            0.081       -0.376 
 4.04780         9.698            0.224       -0.739 
 4.13280         9.265            0.276       -0.544 
 4.15160         9.249            0.228       -0.215 
 4.02300         8.640            0.283       -0.038 
