#  sigmarray   fwhmarray   lumiarray
#
       28.03          46       490.1
       24.16        38.2         468
       21.42        41.6       445.3
       21.88        51.5       479.6
       24.99        41.6       459.8
       26.82        44.4       507.6
       24.73        43.3       481.9
       26.56        40.8       516.4
       25.31        45.7       506.7
       28.17        43.3       518.6
       24.46        42.5       477.7
       28.65          37         469
       30.71        40.8         501
       25.73        40.8       472.5
       26.64        35.7       506.7
       22.29        36.2       480.7
       33.54        41.8       573.2
       25.54          45       468.1
       29.29          42       498.8
       31.17          41       484.2
       30.42        39.7       504.8
       27.65        36.4       474.8
       26.76        40.3       503.4
       37.76        41.2       588.7
          23          41         470
       25.41        48.3       493.3
       25.32        46.5       483.1
       25.67          41       500.1
       27.39        36.8         479
       26.98        41.8       495.4
       24.49        41.1       466.2
        27.6        38.1       496.9
       24.19        41.1       462.1
       28.23        41.4       500.3
       24.17        40.7       466.4
       27.21        37.6       486.4
       34.17        40.1       522.7
       23.39        43.2       462.6
       25.53        37.8       477.2
       23.35        40.1       465.6
       32.57        40.3       564.5
       26.76        43.5       474.5
       25.95        42.7       501.6
       28.31        37.5       491.1
       24.37        38.6       466.7
        26.1        43.7         498
       27.73        41.4       510.1
       27.48        43.6         498
       25.47          44       501.9
       22.62        41.7       469.4
       18.57          42       426.8
       23.24          43       465.4
       35.74        40.6       508.3
       26.11        44.9       479.9
       24.56        48.3       470.5
       20.98          42         438
       25.39          45       508.1
       24.49        44.3       488.6
       24.98          41         477
        24.9        39.7       431.9
       24.22        43.8       445.5
        24.8        37.2       459.3
       25.71        42.2       474.9
        27.5          40       533.7
       29.61        43.8       525.2
       26.08        39.3       469.7
       23.64        42.8       457.3
       26.22        43.2       471.8
       30.96        42.3       486.7
        31.6        36.6       515.5
       25.01        40.6         467
       25.35        38.2       492.9
       25.28        42.4       467.7
       29.65          43       513.8
       31.12        38.2       534.4
       23.75        41.3       473.8
       26.87        38.1       475.2
       26.75        45.5       507.3
       25.53        44.2         474
       23.22        33.3       442.6
       29.42        41.9       500.4
       22.53        45.4       447.2
       19.85        40.5       455.1
        24.6          41         501
       26.31        45.5       498.6
        27.6        36.8         499
       24.68        41.3       474.5
       24.93        41.6       484.4
       24.67        43.1       473.8
       23.52        43.4       473.4
        28.8        41.1       495.9
       31.71        38.3       505.2
       21.08        42.6       425.1
       27.23          44         515
        25.5        47.6       534.6
       22.98        38.9       471.6
       25.86        43.8       489.7
       30.21          41         519
        22.6        42.6       493.9
       30.26        42.4         526
       27.64        44.3         499
       27.69          46       489.1
       28.45        40.4       508.4
       23.97        38.8         456
        24.9        41.8       473.4
       23.96        42.3       469.6
       25.16        37.6       474.7
        31.7        48.8       517.2
       26.71        43.9       492.5
       32.04        41.4       545.6
        24.1          45       475.3
       22.98        44.7       447.1
       24.35        43.9         511
       31.02        46.5         524
       25.17        40.2       459.9
       24.85        40.8       506.6
       29.11        39.8       490.4
       28.99        41.4         506
       26.58        41.7       507.9
       27.14        41.3       488.3
       26.07        45.1         499
       25.35        41.9       485.3
       24.15          43       485.7
       28.93        43.5       476.4
       29.35        38.2       491.3
       25.98        43.8       496.1
       23.33        41.2       458.3
       24.22        37.8         472
       23.58        39.9       445.7
       29.97        37.8       504.3
       27.18          40       514.4
       27.74        40.1       510.6
       31.05        42.6       501.6
       21.69        39.8       440.8
       25.59        38.5       456.1
       24.92        40.4       482.6
       28.72        43.4         492
       24.45        43.6       482.8
       22.84          42       452.8
       25.82        36.5       488.8
       24.67        40.2       458.3
       25.31        47.5       481.1
       20.48        44.4       441.3
       26.59        41.8       482.3
       22.72          42       460.1
       24.61        41.8       483.3
       28.88        39.7       507.4
       29.81        42.1       496.6
        28.2        41.8       517.3
       29.93        40.1       490.9
       22.22        40.9       454.3
       28.17        38.4         504
       25.61          44       493.5
       22.01        45.9       466.5
        21.1        42.9       435.8
       24.18        41.8       468.3
       20.21        42.3       445.7
       35.32        40.3       564.1
       17.97          45       439.8
       30.74        44.8       506.4
       27.61        41.5       482.7
       23.84        36.3       448.3
       24.44        42.2       444.5
       36.54        40.9       507.6
       24.73          43       482.5
       20.77        39.7       441.7
        28.4        43.5       481.2
       28.57        39.5       494.8
       27.43        41.4       475.8
       27.52        45.9       495.1
       31.45        44.8       517.2
       21.58        37.4       433.1
       31.41        45.6       504.1
       19.61        41.2       402.2
       23.77        38.5       462.6
       26.14          41       479.4
       32.27        41.7       518.9
        29.4        40.5       486.9
       23.16        40.9       444.7
       21.91        38.5       428.4
       25.33          40       504.8
       30.93        39.8       518.9
       25.56        43.2       467.5
        26.2        38.2       484.1
       22.92        43.7       466.8
        27.6        43.1       487.4
       30.59        41.5       505.8
       21.91        46.2         479
       26.58        40.5         494
       26.07        39.4       473.3
       39.23        42.5       563.8
       25.56        44.1         490
       23.36        38.9       464.7
       22.28        42.5       470.6
       46.06        44.2       578.6
        34.1        35.7       546.4
       25.21        38.6       478.9
       26.46          43       479.1
       21.92        40.4       463.1
       26.92        42.7       497.7
        31.3        36.3       490.4
       22.89        48.9       479.3
       28.56        42.2       501.1
       25.09        44.2       508.5
       22.75        40.2       464.4
       22.61        41.1       453.1
       24.43        44.1         474
       26.67        43.2       489.1
       36.33        37.6       517.4
       27.06        40.3       490.3
       24.19        42.8         477
       25.65        41.7       503.3
       27.33        43.6       515.5
       28.04          41       511.3
       24.57        44.2       483.4
       25.85        43.1       468.8
       31.15        37.6       508.9
       25.51        41.7       453.3
       25.97        42.1       501.9
       25.71        40.1       473.7
       25.94        40.1       465.2
       24.68        39.6       492.5
       23.98          41       474.6
       24.98        46.7       479.1
       24.34        45.2       479.2
       29.06          43       518.4
       24.51        43.1       479.1
       23.71        38.5       469.7
       26.42        40.4       469.8
       23.39        38.9       456.8
       24.31        39.3       475.4
       22.48        41.1       440.4
       29.63          45       513.8
       24.08        42.7       482.8
       30.29        40.7       479.9
       27.02          40         471
       24.96        43.8       486.4
