?qx_off,",",f1->classname,",",f1->class,",",f1->z,",",f2->Z,",",f2->logbh_hbmd04,",",f2->LOGBH_HBMD04_ER,",",f2->LOGBH_HBVP06,",",f2->LOGBH_HBVP06_ER,",",f2->LOGBH_MGMD04,",",f2->LOGBH_MGMD04_ER,",",f2->LOGBH_MGVO09,",",f2->LOGBH_MGVO09_ER,",",f2->LOGBH_MGS10,",",f2->LOGBH_MGS10_ER,",",f2->LOGBH_CIVVP06,",",f2->LOGBH_CIVVP06_ER,",",f2->LOGBH,",",LOGBH_ERR,",",f2->LOGEDD_RATIO
         0.07 , GB6J114624+584829 , QSO        , 1.982000 , 1.97690 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.680 ,  0.120 ,  0.000 , -1.000 ,  8.915 ,  0.329 ,  8.504 ,  0.051 ,  8.504 ,  0.051 , -0.476
         0.05 , GB6J121944+584146 , -          , 0.000000 , 1.49140 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.315 ,  0.034 ,  8.872 ,  0.104 ,  9.550 ,  0.109 ,  0.000 , -1.000 ,  9.550 ,  0.109 , -1.100
         0.04 , GB6J153456+583920 , QSO        , 1.904000 , 1.90470 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.068 ,  0.026 ,  9.069 ,  0.040 ,  9.253 ,  0.072 ,  9.270 ,  0.027 ,  9.270 ,  0.027 , -0.427
         0.08 , GB6J121710+583523 , QSO        , 2.550000 , 2.55230 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.759 ,  0.034 ,  8.759 ,  0.034 ,  0.077
         0.18 , GB6J153734+583243 , -          , 3.071630 , 3.05900 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  7.964 ,  0.125 ,  7.964 ,  0.125 ,  0.302
         0.06 , GB6J143942+582801 , QSO        , 0.425000 , 0.42490 ,  8.431 ,  0.012 ,  8.618 ,  0.020 ,  8.563 ,  0.017 ,  8.780 ,  0.044 ,  8.774 ,  0.045 ,  0.000 , -1.000 ,  8.618 ,  0.020 , -1.093
         0.04 , GB6J083720+582514 , QSO        , 2.101000 , 2.10100 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.845 ,  0.043 ,  9.580 ,  0.098 ,  9.767 ,  0.102 ,  9.796 ,  0.075 ,  9.796 ,  0.075 , -0.529
         0.11 , GB6J144754+582435 , -          , 0.000000 , 2.97380 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.707 ,  0.065 ,  8.707 ,  0.065 ,  0.568
         0.12 , GB6J084346+582318 , -          , 0.000000 , 1.49030 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.606 ,  0.036 ,  9.832 ,  0.129 ,  9.922 ,  0.129 ,  0.000 , -1.000 ,  9.922 ,  0.129 , -1.558
         0.03 , GB6J123355+582413 , -          , 0.000000 , 1.51700 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.569 ,  0.032 ,  9.044 ,  0.075 ,  9.147 ,  0.082 ,  8.956 ,  0.090 ,  9.147 ,  0.082 , -0.682
