 classname				 z_shen  gbflux psfmagr logMBH_shen    logMBH_shen_Err    logMBH_shen_CIV    logMBH_shen_CIV_err 	# CLASS con massa Shen
 GB6J091825+063722 4.19200     36  19.863       9.834           0.322           9.834               0.322 
 GB6J091857+232548 0.69020     40  17.603       9.457           0.061           0.000              -1.000 
 GB6J091907+212547 1.39000    150  18.910       9.349           0.038           0.000              -1.000 
 GB6J091914+220507 1.55160     87  20.255       8.848           0.132           8.511               0.114 
 GB6J091950+113914 1.00650     30  18.425       9.129           0.084           0.000              -1.000 
 GB6J092035+002314 2.49100     84  18.477       9.948           0.027           9.948               0.027 
 GB6J092058+444144 2.18880   1085  17.907       9.256           0.044           9.256               0.044 
 GB6J092100+080509 0.51750    192  19.425       8.337           0.279           0.000              -1.000 
 GB6J092115+175309 2.54340     53  18.277       9.085           0.050           9.085               0.050 
 GB6J092122+013814 1.66280     87  18.975       8.932           0.073           9.173               0.075 
 GB6J092130+135053 0.76780    306  17.914       8.832           0.138           0.000              -1.000 
 GB6J092135+621546 1.45320   1226  18.666       9.375           0.105           0.000              -1.000 
 GB6J092157+660437 1.64460    155  18.864       9.376           0.197           8.648               0.056 
 GB6J092239+133046 1.84150     71  19.070       8.910           0.151           9.285               0.068 
 GB6J092247+262057 1.64390     30  20.022       9.196           0.063           9.053               0.211 
 GB6J092318+151758 1.09770     34  19.752       8.572           0.196           0.000              -1.000 
 GB6J092331+020048 2.56360     53  19.913       9.050           0.103           9.050               0.103 
 GB6J092348+310753 0.89380    288  18.454       8.796           0.116           0.000              -1.000 
 GB6J092350+281530 0.74420    347  19.145       8.804           0.082           0.000              -1.000 
 GB6J092507+001900 1.72430    810  17.214       9.983           0.162           9.995               0.089 
 GB6J092524+543528 0.56020     37  19.299       8.898           0.016           0.000              -1.000 
 GB6J092534+250118 1.34180     33  18.904       9.298           0.066           0.000              -1.000 
 GB6J092546+193518 0.55010     42  20.843       9.324           0.284           0.000              -1.000 
 GB6J092550+165813 1.54700    190  16.997       9.382           0.105           9.590               0.070 
 GB6J092600+402949 1.87880    288  20.103       8.906           0.085           8.683               0.074 
 GB6J092633+543856 0.41230     40  18.884       8.082           0.042           0.000              -1.000 
 GB6J092703+390218 0.69670   6913  16.631       9.184           0.029           0.000              -1.000 
 GB6J092726+383606 2.61950     31  19.306       9.455           0.126           9.455               0.126 
 GB6J092740+303427 1.21230     52  18.907       9.010           0.069           0.000              -1.000 
 GB6J092804+055023 1.95710     38  19.577       9.388           0.137           9.388               0.137 
 GB6J092823+444558 1.90320    225  18.313       9.140           0.066           9.140               0.066 
 GB6J092855+440916 1.17570     41  18.006       9.526           0.098           0.000              -1.000 
 GB6J092856+644356 0.92010    136  18.766       9.116           0.157           0.000              -1.000 
 GB6J092857+073643 0.72960     38  19.087       8.428           0.299           0.000              -1.000 
 GB6J092915+253659 0.53840    121  19.128       8.252           0.025           0.000              -1.000 
 GB6J092925+201853 2.18120     36  18.931       9.369           0.116           9.369               0.116 
 GB6J093035+464408 2.03290    202  18.612       9.320           0.037           9.320               0.037 
 GB6J093042+212854 1.98900     38  18.664       9.192           0.084           9.192               0.084 
 GB6J093050+003456 1.76940    387  19.390       8.539           0.258           8.812               0.105 
