classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii
GB6J130942+404825	131	19.105	1	2.906660	197.422943	40.799225	75.8205
GB6J131003+292605	41	20.887	0	0.000000	197.524095	29.438450	85.2878
GB6J131026+004421	201	19.289	1	1.601000	197.618766	0.735797	63.2147
GB6J131029+322051	1447	17.622	1	0.997000	197.619424	32.345497	83.3459
GB6J131038+244815	67	19.959	0	0.000000	197.660480	24.806149	85.0992
GB6J131041+020126	90	19.050	1	1.829920	197.669764	2.024155	64.4761
GB6J131053+053257	48	24.265	0	0.000000	197.719946	5.557090	67.9377
GB6J131058+323339	870	18.811	1	1.639000	197.747512	32.559566	83.1119
GB6J131100+311334	50	21.424	0	0.000000	197.749100	31.222384	84.0863
GB6J131103+291058	47	19.159	1	1.772840	197.762804	29.185291	85.2130
GB6J131103+551403	487	19.173	1	0.925000	197.763362	55.231758	61.6714
GB6J131107+141736	401	19.666	1	1.947000	197.782588	14.296293	76.3715
GB6J131109+223806	50	21.407	1	0.497180	197.781300	22.635279	83.6672
GB6J131109+343920	76	21.528	4	0.790720	197.793889	34.654491	81.3675
GB6J131115+513204	31	22.937	0	0.000000	197.806220	51.527424	65.3163
GB6J131120+334635	37	21.952	0	0.000000	197.844858	33.781536	82.0822
GB6J131156+103248	33	20.645	1	1.654260	197.988010	10.550367	72.7326
GB6J131214+253106	187	23.545	0	0.000000	198.059549	25.520338	85.0701
GB6J131215+445023	106	15.984	4	0.034600	198.070836	44.839245	71.8041
GB6J131218+351522	36	15.603	1	0.184000	198.073969	35.255856	80.7327
GB6J131220+090020	47	22.304	0	0.000000	198.081808	9.003599	71.2149
GB6J131243+482833	224	21.371	1	0.501000	198.180628	48.475258	68.2563
GB6J131249+311254	93	17.917	1	1.053850	198.203344	31.216828	83.7978
GB6J131252+192626	103	20.348	0	0.000000	198.214216	19.438585	80.8750
GB6J131254+151539	70	18.593	1	1.419240	198.228879	15.257982	77.1223
GB6J131330+020049	45	18.646	6	0.356000	198.375535	2.018291	64.3395
GB6J131341+102716	162	18.815	1	2.912000	198.423543	10.453990	72.5211
GB6J131343+255114	74	23.242	0	0.000000	198.423243	25.850840	84.8595
GB6J131358+244547	51	23.243	0	0.000000	198.489504	24.759983	84.4116
GB6J131402+084202	158	21.943	0	0.000000	198.513293	8.702516	70.8136
GB6J131405+543949	43	19.452	4	0.346450	198.519201	54.660522	62.1583
GB6J131406+072339	46	18.696	1	0.658830	198.534365	7.399491	69.5497
GB6J131413+591529	60	22.023	0	0.000000	198.556609	59.256500	57.6304
GB6J131429+544219	62	20.096	1	1.570830	198.614903	54.696808	62.1122
GB6J131432+470643	39	19.998	1	1.455850	198.644314	47.117920	69.4996
GB6J131444+234828	132	16.814	6	2.059260	198.682508	23.807417	83.7831
GB6J131453+173123	31	20.919	4	0.522770	198.711734	17.521174	78.9774
