classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii	lii	a_v	psfmagr_corr
GB6J101302+352605	171	17.905	1	2.64532	153.259578	35.434917	55.3964	189.0703	0.051	17.863106808280623
GB6J101329+491851	161	18.887	1	2.19938	153.374705	49.311375	52.5205	165.8772	0.042	18.852499724466394
GB6J101353+244916	937	16.351	1	1.636	153.47261	24.82123	54.6595	207.601	0.151	16.22696329510537
GB6J101414+550334	123	19.654	1	2.97	153.561015	55.056664	50.1976	157.4521	0.041	19.62032115959815
GB6J101434+040846	126	18.321	1	2.71798	153.646875	4.147871	46.116	237.4805	0.115	18.22653495984846
GB6J101602+051304	593	18.892	1	1.714	154.013071	5.217309	47.0328	236.5194	0.11	18.801642135507223
GB6J101644+203741	986	18.985	1	3.119	154.18469	20.629803	54.1861	214.8509	0.099	18.9036779219565
GB6J101726+611633	596	18.083	1	2.805	154.357867	61.274303	47.2747	149.0986	0.039	18.05096402986165
GB6J101803+265001	117	17.75	1	1.80949	154.513593	26.835834	55.963	204.4387	0.117	17.653892089584957
GB6J101827+053022	627	19.088	1	1.944	154.616046	5.508312	47.6913	236.6766	0.098	19.007499357088253
GB6J102027+432106	246	18.979	1	1.96204	155.113349	43.348988	55.5639	174.8573	0.064	18.926428151567837
GB6J102033+585843	41	19.576	1	3.421045	155.135422	58.980343	48.8982	151.5933	0.046	19.538213983939386
GB6J102644+365809	111	19.521	1	3.247987	156.688929	36.97377	58.0201	185.8395	0.048	19.48157111367588
GB6J102648+590624	77	18.677	1	3.407151	156.714406	59.107807	49.4896	150.7194	0.033	18.649892640652165
GB6J103531+423043	91	19.218	1	2.43224	158.885737	42.505268	58.4518	174.8722	0.06	19.16871389209485
GB6J103626+132627	93	17.893	1	3.101073	159.112015	13.447707	55.6671	229.601	0.146	17.773070470764132
GB6J103738+042401	185	19.823	1	2.328	159.41391	4.400484	50.8425	242.4452	0.169	19.684177462733825
GB6J104406+295921	79	19.008	1	2.983	161.026425	29.983608	61.9833	199.4866	0.114	18.914356394980214
GB6J104552+062437	427	17.62	1	1.509	161.469727	6.410127	53.6965	241.9778	0.123	17.518963478794443
GB6J104646+034928	64	20.513	1	3.215962	161.690083	3.826689	52.2084	245.5029	0.211	20.33967718720022
GB6J104942+133258	60	18.717	1	2.76544	162.421231	13.54877	58.5173	232.3586	0.149	18.594606165368873
GB6J105437+551215	83	20.13	1	3.314395	163.655176	55.206509	54.8604	151.861	0.038	20.098785464993405
GB6J110206+161456	106	19.772	1	2.91194	165.531006	16.24222	62.4538	230.5527	0.075	19.71039236511856
GB6J110213+275650	399	19.277	1	1.861	165.55953	27.95241	65.8298	204.6121	0.107	19.18910644090248
GB6J110242+594132	249	17.108	1	1.83	165.678177	59.68877	52.4874	145.1794	0.026	17.086642686574436
GB6J110344+023216	112	18.439	1	2.51002	165.935583	2.536111	54.3824	251.9675	0.225	18.254177095355686
GB6J111132+325248	194	19.768	1	2.36171	167.882366	32.882152	67.6778	191.9392	0.125	19.665320608530937
GB6J111231+313547	108	19.34	1	2.44135	168.13601	31.590256	68.0453	195.2752	0.083	19.271820884064542
GB6J111239+344642	216	19.296	1	1.956	168.16153	34.777534	67.5528	186.9344	0.09	19.222070838142272
GB6J111701+131118	45	18.357	1	3.625896	169.257917	13.187657	63.9048	240.5308	0.096	18.278142227351758
GB6J111753+412014	237	19.474	1	2.21823	169.472223	41.337856	66.1356	170.3798	0.08	19.4082851894598
GB6J111857+123442	1820	18.475	1	2.129	169.738755	12.578255	63.9174	242.2789	0.099	18.393677921956503
GB6J111914+600459	170	17.144	1	2.646	169.809766	60.08255	53.4818	142.0885	0.03	17.11935694604742
GB6J112338+052053	85	19.101	1	2.18346	170.908914	5.34401	59.8087	255.1935	0.204	18.933427233122487
GB6J112340+155358	62	20.377	1	3.390472	170.91701	15.898233	66.7584	237.3264	0.109	20.287463570638977
GB6J112542+000111	131	17.56	1	1.696	171.42623	0.017059	55.9528	262.1887	0.157	17.431034684314856
GB6J112554+261017	1176	18.222	1	2.341	171.473794	26.172216	70.8855	210.9208	0.062	18.171071021831345
GB6J112651+062605	427	19.226	1	2.74118	171.72143	6.432481	61.1593	254.9552	0.24	19.028855568379395
GB6J112657+451557	360	17.194	1	1.811	171.740241	45.268414	65.2615	160.2297	0.094	17.116785097615264
GB6J112739+565013	448	19.59	1	2.89	171.917238	56.837437	56.7611	143.8294	0.046	19.552213983939385
GB6J112850+232603	109	18.334	1	3.042273	172.215414	23.438158	70.9959	219.5441	0.066	18.279785281304335
GB6J112907+164327	171	17.842	1	1.99663	172.282033	16.722925	68.3064	237.34	0.115	17.74753495984846
GB6J112913+095157	367	17.324	1	1.51543	172.308726	9.866384	64.0478	250.7203	0.168	17.18599889786558
