classname         gbflux psfmagr flag_class        z                RA               DEC      bii       lii    a_v
GB6J005206+003550     88  16.389          1 0.399640         13.023213          0.593932 -62.2774  123.2842  0.131
GB6J005219+162546     60  17.690          0 0.000000         13.080843         16.436909 -46.4343  123.2402  0.264
GB6J005234+292106    109  21.713          0 0.000000         13.143550         29.351082 -33.5200  123.2291  0.337
GB6J005235+163256    186  22.600          0 0.000000         13.150685         16.550121 -46.3207  123.3363  0.260
GB6J005245+134933     67  22.755          0 0.000000         13.191684         13.829730 -49.0408  123.4242  0.300
GB6J005250+153829     50  22.276          0 0.000000         13.219005         15.639925 -47.2304  123.4420  0.284
GB6J005339+342325     73  19.504          1 2.155020         13.420127         34.391262 -28.4782  123.4584  0.294
GB6J005352+424932     34  23.036          0 0.000000         13.465197         42.826588 -20.0429  123.4049  0.514
GB6J005357+190242     36  22.343          0 0.000000         13.489395         19.044104 -43.8236  123.7574  0.197
GB6J005357+275449     40  21.552          0 0.000000         13.486868         27.910545 -34.9579  123.6085  0.321
GB6J005402+155939     45  19.845          0 0.000000         13.513149         15.996863 -46.8702  123.8513  0.292
GB6J005414+384206     92  16.973          0 0.000000         13.557313         38.703964 -24.1645  123.5289  0.288
GB6J005421+153440     97  18.764          0 0.000000         13.590655         15.574248 -47.2916  123.9706  0.287
GB6J005436+255002    137  21.263          0 0.000000         13.650355         25.834547 -37.0317  123.8238  0.261
GB6J005448+405535     96  20.893          0 0.000000         13.702944         40.927597 -21.9397  123.6191  0.324
GB6J005453+015114     42  20.974          0 0.000000         13.725697          1.862906 -60.9968  124.7181  0.156
GB6J005500+331010     63  22.217          0 0.000000         13.748752         33.168812 -29.6970  123.7890  0.290
